x, y, theta, v
49.835316,50.373447,0.899594,7.437418
49.914458,50.736798,1.063599,7.403536
49.933127,51.106504,1.226856,7.357527
49.891718,51.472042,1.389099,7.307194
49.792490,51.823669,1.550233,7.260107
49.639128,52.152688,1.710327,7.223263
49.506781,52.488728,1.794653,7.202901
49.572122,52.842896,1.652320,7.176763
49.504618,53.195328,1.690900,7.137329
49.557529,53.548250,1.596085,7.099631
49.483431,53.895412,1.661380,7.061510
49.549976,54.242160,1.563741,7.027689
49.473028,54.585015,1.643106,6.994033
49.544759,54.927281,1.546835,6.963267
49.468663,55.267027,1.631050,6.932844
49.540972,55.606043,1.538457,6.904285
49.467019,55.943243,1.623274,6.876206
49.538216,56.279601,1.534532,6.849463
49.466641,56.614511,1.618202,6.823302
49.536146,56.948522,1.532948,6.798198
49.466893,57.281302,1.614744,6.773729
49.534512,57.613169,1.532609,6.750154
49.467465,57.943951,1.612236,6.727228
49.533153,58.273836,1.532938,6.705089
49.468200,58.602738,1.610293,6.683591
49.531970,58.930777,1.533620,6.662802
49.469012,59.257914,1.608693,6.642632
49.530904,59.584228,1.534483,6.623113
49.469855,59.909708,1.607308,6.604184
49.529919,60.234408,1.535431,6.585856
49.470701,60.558332,1.606065,6.568089
49.528995,60.881522,1.536411,6.550879
49.471537,61.203987,1.604921,6.534199
49.528119,61.525760,1.537394,6.518039
49.472356,61.846856,1.603850,6.502377
49.527283,62.167301,1.538362,6.487203
49.473152,62.487112,1.602836,6.472496
49.520923,62.807192,1.544836,6.457716
49.462698,63.124784,1.611285,6.437590
49.498208,63.444699,1.562855,6.418244
49.433951,63.759112,1.629607,6.397805
49.466278,64.077365,1.578630,6.383363
49.396078,64.388717,1.646389,6.365570
49.415121,64.706426,1.603406,6.353217
49.336846,65.014291,1.671602,6.336200
49.327355,65.330959,1.649177,6.326447
49.237785,65.634335,1.714718,6.305633
49.175194,65.943341,1.732342,6.294497
49.058715,66.235718,1.800278,6.279706
49.018860,66.547164,1.768243,6.280472
49.099375,66.850690,1.629750,6.270560
49.220830,67.139738,1.491476,6.265366
49.380833,67.409063,1.353317,6.273087
49.576644,67.654088,1.214987,6.295637
49.805189,67.870547,1.076160,6.082382
50.052808,68.047107,0.942036,5.754512
50.307312,68.181322,0.815141,5.489984
50.399978,68.439707,0.924888,5.989984
50.667253,68.574851,0.792801,5.661126
50.756630,68.843426,0.917637,5.161126
50.806991,69.096520,1.031446,5.661126
50.830348,69.378611,1.156281,6.161126
50.817344,69.686393,1.292142,6.459241
50.760132,70.004247,1.434577,6.889220
50.952623,70.289905,1.282660,6.480494
50.898249,70.609335,1.425564,6.477825
51.081659,70.876293,1.282719,5.988709
51.031394,71.171479,1.414778,5.488709
50.950104,71.433598,1.535811,5.100131
50.845713,71.666259,1.648276,5.600131
50.703142,71.907251,1.771766,6.100131
50.516689,72.148631,1.906282,6.600131
50.281752,72.380382,2.051823,6.913785
50.273357,72.725970,1.899365,6.842112
50.317086,73.065269,1.748488,6.881485
50.411859,73.396034,1.596742,6.947885
50.462377,73.739735,1.537324,7.044729
50.317698,74.060887,1.692670,7.110466
50.123275,74.358539,1.849465,7.086400
49.885564,74.621287,2.005729,7.051524
49.611216,74.842743,2.161224,7.012598
49.335151,75.058912,2.270208,6.976256
49.140769,75.348543,2.232498,6.941705
48.862933,75.556571,2.323871,6.911421
48.666076,75.840590,2.273260,6.879029
48.386927,76.041533,2.356491,6.850249
48.202726,76.330298,2.282454,6.822247
47.924729,76.527972,2.363877,6.793347
47.748034,76.818063,2.281161,6.760025
47.476689,77.019600,2.355450,6.728381
47.307812,77.310561,2.269365,6.690022
47.046514,77.519401,2.335147,6.655122
46.886170,77.810977,2.249099,6.610916
46.639099,78.030559,2.303696,6.572912
46.488142,78.322484,2.220587,6.522855
46.266749,78.561972,2.251968,6.484606
46.130373,78.856126,2.172679,6.432036
45.954563,79.125418,2.165123,6.395457
45.838737,79.423477,2.094189,6.345590
45.585142,79.614149,2.218533,6.297060
45.307997,79.763558,2.349392,6.242258
45.014676,79.870222,2.483299,6.186987
44.711589,79.932150,2.619731,5.837476
44.548670,80.174324,2.491007,5.588552
44.274476,80.228151,2.614241,5.088552
44.020682,80.246101,2.726451,5.501553
43.745843,80.234661,2.847767,5.705096
43.464365,80.188394,2.973572,5.953446
43.179014,80.103639,3.104853,6.240282
42.894117,79.976411,3.242459,6.574736
42.615176,79.802457,3.387441,6.971643
42.349149,79.577205,3.541175,7.377691
42.107448,79.298535,3.703862,7.250849
41.797488,79.110488,3.697717,7.036042
41.448866,79.063295,3.553761,6.641826
41.117104,79.078093,3.407300,6.141826
40.815600,79.136402,3.271865,5.641826
40.548408,79.226869,3.147455,5.141826
