acceleration, steering_angle
-4.421714,-1.500000
10.000000,-1.500000
10.000000,-1.500000
9.700498,-1.500000
2.828450,-1.500000
-3.897735,1.500000
-10.000000,1.500000
5.144650,1.500000
-2.882700,1.500000
-6.586399,1.500000
4.142099,1.500000
-9.999993,-1.499991
10.000000,-1.500000
10.000000,-1.500000
-1.789582,-1.500000
-10.000000,1.500000
-1.861037,1.500000
5.796303,1.500000
-5.081988,1.500000
-10.000000,-1.500000
-1.965149,-1.500000
10.000000,-1.500000
10.000000,-1.500000
-5.910854,1.500000
-3.790137,1.500000
8.652637,0.900736
-7.710159,1.500000
-10.000000,-1.500000
-8.444285,-1.500000
10.000000,-1.500000
10.000000,-1.500000
0.770554,-1.500000
9.158968,1.500000
3.078739,1.500000
-6.124179,-0.123788
-9.691838,1.500000
-10.000000,-1.500000
10.000000,-1.500000
10.000000,-1.500000
1.234411,-1.500000
-8.523882,1.500000
-0.813086,1.500000
1.103301,1.500000
0.862563,1.500000
-10.000000,-1.500000
2.038282,-1.500000
10.000000,-1.500000
3.674073,-1.500000
-8.194606,1.500000
-7.681082,1.500000
2.628264,1.500000
-0.539915,1.500000
-10.000000,-1.500000
-0.903496,-1.500000
10.000000,-1.500000
10.000000,-1.500000
5.280875,-1.500000
2.474512,-1.500000
